CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,crime_hour
PETTY THEFT,2025 Feb 02 10:00:00 AM,25-904230,THEFT,"07X",3500 SAN PABLO AV,Oakland,CA,10
PETTY THEFT,2025 Feb 02 10:00:00 AM,25-005640,THEFT,12Y,5800 KEITH AV,Oakland,CA,10
PETTY THEFT,2025 Feb 02 10:00:00 AM,25-005116,THEFT,28X,4800 WALNUT ST,Oakland,CA,10
GRAND THEFT,2025 Feb 02 10:50:00 AM,25-905521,GRAND THEFT,"01X",100 4TH ST,Oakland,CA,10
PETTY THEFT,2025 Feb 02 10:57:00 AM,25-005221,THEFT,23X,4000 E 17TH ST,Oakland,CA,10
PETTY THEFT,2025 Feb 02 11:00:00 AM,25-005572,PETTY THEFT:$50-,"05X",1400 POPLAR ST,Oakland,CA,11
PETTY THEFT,2025 Feb 02 12:00:00 PM,25-005501,OBTAIN MONEY/ETC BY FALSE PRETENSES,33X,1300 90TH AV,Oakland,CA,12
GRAND THEFT,2025 Feb 02 01:23:00 PM,25-005084,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,"03Y",400 7TH ST,Oakland,CA,13
PETTY THEFT,2025 Feb 02 02:00:00 PM,25-005133,THEFT,"07X",3200 FILBERT ST,Oakland,CA,14
GRAND THEFT,2025 Feb 02 02:20:00 PM,25-904218,GRAND THEFT,25X,4600 DAVENPORT AV,Oakland,CA,14
ROBBERY,2025 Feb 02 03:04:00 PM,25-005096,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,500 23RD AV,Oakland,CA,15
ROBBERY,2025 Feb 02 04:20:00 PM,25-005111,ROBBERY-OTHER DANGEROUS WEAPON,16X,3200 LAKESHORE AV,Oakland,CA,16
PETTY THEFT,2025 Feb 02 05:11:00 PM,25-904227,THEFT,12X,5000 TELEGRAPH AV,Oakland,CA,17
PETTY THEFT,2025 Feb 02 05:25:00 PM,25-005232,THEFT,35X,9000 BANCROFT AV,Oakland,CA,17
GRAND THEFT,2025 Feb 02 05:50:00 PM,25-005127,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,18Y,2900 14TH AV,Oakland,CA,17
PETTY THEFT,2025 Feb 02 06:00:00 PM,25-020151,THEFT,"08X",400 28TH ST,Oakland,CA,18
PETTY THEFT,2025 Feb 02 06:00:00 PM,25-005465,THEFT,30X,7800 INTERNATIONAL BLVD,Oakland,CA,18
GRAND THEFT,2025 Feb 02 06:45:00 PM,25-904819,GRAND THEFT,"08X",200 ORANGE ST,Oakland,CA,18
ROBBERY,2025 Feb 02 07:10:00 PM,25-005141,ROBBERY-FIREARM,23X,1800 39TH AV,Oakland,CA,19
GRAND THEFT,2025 Feb 02 07:13:00 PM,25-005138,GRAND THEFT,14X,2300 HARRISON ST,Oakland,CA,19
ROBBERY,2025 Feb 02 08:41:00 PM,25-005145,ROBBERY-FIREARM,"09X",4100 PIEDMONT AV,Oakland,CA,20
GRAND THEFT,2025 Feb 02 10:00:00 PM,25-904222,GRAND THEFT,17X,400 E 18TH ST,Oakland,CA,22
ROBBERY,2025 Feb 02 10:56:00 PM,25-005155,VANDALISM:DAMAGE PROPERTY,"03X",300 13TH ST,Oakland,CA,22
ROBBERY,2025 Feb 02 10:56:00 PM,25-005155,ROBBERY-FIREARM,"03X",300 13TH ST,Oakland,CA,22
ROBBERY,2025 Feb 02 11:00:00 PM,25-005167,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","09X",600 FAIRMOUNT AV,Oakland,CA,23
PETTY THEFT,2025 Feb 02 11:00:00 PM,25-005216,THEFT,22Y,3800 SILVERWOOD AV,Oakland,CA,23
PETTY THEFT,2025 Feb 03 12:00:00 AM,25-005435,THEFT,16X,600 SANTA RAY AV,Oakland,CA,0
PETTY THEFT,2025 Feb 03 12:00:00 AM,25-005293,PETTY THEFT:$50-,77X,2700 HUMBOLDTH AV,Oakland,CA,0
GRAND THEFT,2025 Feb 03 04:00:00 AM,25-904231,GRAND THEFT,"04X",,Oakland,CA,4
ROBBERY,2025 Feb 03 04:50:00 AM,25-005187,VANDALISM:DAMAGE PROPERTY,"06X",2600 MARTIN LUTHER KING JR WY,Oakland,CA,4
ROBBERY,2025 Feb 03 04:50:00 AM,25-005187,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","06X",2600 MARTIN LUTHER KING JR WY,Oakland,CA,4
PETTY THEFT,2025 Feb 03 05:43:00 AM,25-005370,PETTY THEFT:$50-,"02Y",1000 PINE ST,Oakland,CA,5
GRAND THEFT,2025 Feb 03 08:00:00 AM,25-904367,GRAND THEFT,"04X",2000 TELEGRAPH AV,Oakland,CA,8
PETTY THEFT,2025 Feb 03 08:00:00 AM,25-005376,PETTY THEFT:$50-,"03X",600 MADISON ST,Oakland,CA,8
GRAND THEFT,2025 Feb 03 08:50:00 AM,25-901071,GRAND THEFT,"04X",1500 MADISON ST,Oakland,CA,8
PETTY THEFT,2025 Feb 03 10:00:00 AM,25-006040,THEFT,22Y,3700 MIDVALE AV,Oakland,CA,10
PETTY THEFT,2025 Feb 03 10:05:00 AM,25-005212,THEFT,19X,400 23RD AV,Oakland,CA,10
GRAND THEFT,2025 Feb 03 10:20:00 AM,25-904155,GRAND THEFT,13Y,6900 PINEHAVEN RD,Oakland,CA,10
PETTY THEFT,2025 Feb 03 11:28:00 AM,25-905214,THEFT,14Y,3200 LAKESHORE AV,Oakland,CA,11
PETTY THEFT,2025 Feb 03 11:37:00 AM,25-005222,RECEIVE/ETC KNOWN STOLEN PROPERTY [$400 OR LESS],29X,6200 CAMDEN ST,Oakland,CA,11
GRAND THEFT,2025 Feb 03 12:00:00 PM,25-901088,THEFT,10X,900 56TH ST,Oakland,CA,12
ROBBERY,2025 Feb 03 12:00:00 PM,25-005255,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",77X,1300 70TH AV,Oakland,CA,12
GRAND THEFT,2025 Feb 03 12:57:00 PM,25-904251,GRAND THEFT,"08X",2400 BROADWAY,Oakland,CA,12
PETTY THEFT,2025 Feb 03 01:07:00 PM,25-902420,THEFT,"05X",1500 UNION ST,Oakland,CA,13
PETTY THEFT,2025 Feb 03 01:23:00 PM,25-005241,THEFT,99X,1700 PARK ST,Oakland,CA,13
PETTY THEFT,2025 Feb 03 01:30:00 PM,25-005245,PETTY THEFT:$50-,30X,1900 70TH AV,Oakland,CA,13
PETTY THEFT,2025 Feb 03 02:10:00 PM,25-903840,THEFT,13X,5600 COUNTRY CLUB DR,Oakland,CA,14
ROBBERY,2025 Feb 03 05:30:00 PM,25-005292,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",32X,10800 INTERNATIONAL BLVD,Oakland,CA,17
PETTY THEFT,2025 Feb 03 08:00:00 PM,25-902410,THEFT,77X,5100 PIEDMONT AV,Oakland,CA,20
PETTY THEFT,2025 Feb 03 08:30:00 PM,25-005333,THEFT,"03X",400 8TH ST,Oakland,CA,20
PETTY THEFT,2025 Feb 03 09:00:00 PM,25-005630,THEFT,22Y,4000 COOLIDGE AV,Oakland,CA,21
PETTY THEFT,2025 Feb 03 10:00:00 PM,25-901348,THEFT,"01X",200 2ND ST,Oakland,CA,22
PETTY THEFT,2025 Feb 03 10:00:00 PM,25-007030,PETTY THEFT:$50-,"04X",19TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,22
GRAND THEFT,2025 Feb 03 10:50:00 PM,25-005692,GRAND THEFT,77X,600 THOMAS L BERKLEY WY,Oakland,CA,22
GRAND THEFT,2025 Feb 03 10:50:00 PM,25-005692,VANDALISM:DAMAGE PROPERTY,77X,600 THOMAS L BERKLEY WY,Oakland,CA,22
PETTY THEFT,2025 Feb 04 12:00:00 AM,25-005459,THEFT,29X,3000 MILLSBRAE AV,Oakland,CA,0
GRAND THEFT,2025 Feb 04 12:00:00 AM,25-006632,GRAND THEFT,19X,1300 19TH AV,Oakland,CA,0
PETTY THEFT,2025 Feb 04 12:00:00 AM,25-006673,THEFT,28X,2900 MORCOM AV,Oakland,CA,0
PETTY THEFT,2025 Feb 04 12:00:00 AM,25-005304,PETTY THEFT:$50-,"02X",1000 MAGNOLIA ST,Oakland,CA,0
PETTY THEFT,2025 Feb 04 07:15:00 AM,25-902405,THEFT,77X,9800 AVE,Oakland,CA,7
PETTY THEFT,2025 Feb 04 08:00:00 AM,25-009381,THEFT,22X,4200 LINNET AV,Oakland,CA,8
GRAND THEFT,2025 Feb 04 08:16:00 AM,25-005442,GRAND THEFT,24Y,3100 35TH AV,Oakland,CA,8
PETTY THEFT,2025 Feb 04 08:30:00 AM,25-902403,THEFT,23X,4200 INTERNATIONAL BLVD,Oakland,CA,8
PETTY THEFT,2025 Feb 04 09:00:00 AM,25-005474,THEFT,"05Y",2100 MANDELA PKWY,Oakland,CA,9
PETTY THEFT,2025 Feb 04 09:36:00 AM,25-005384,VANDALISM,16X,3400 LAKESHORE AV,Oakland,CA,9
PETTY THEFT,2025 Feb 04 09:36:00 AM,25-005384,ELDER ABUSE BY THEFT OR EMBEZZLEMENT,16X,3400 LAKESHORE AV,Oakland,CA,9
PETTY THEFT,2025 Feb 04 09:36:00 AM,25-005384,TAMPER WITH VEHICLE,16X,3400 LAKESHORE AV,Oakland,CA,9
PETTY THEFT,2025 Feb 04 09:36:00 AM,25-005384,THEFT,16X,3400 LAKESHORE AV,Oakland,CA,9
ROBBERY,2025 Feb 04 09:50:00 AM,25-005388,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",15X,200 E 18TH ST,Oakland,CA,9
PETTY THEFT,2025 Feb 04 10:00:00 AM,25-005726,THEFT,21Y,3100 FRUITVALE AV,Oakland,CA,10
ROBBERY,2025 Feb 04 10:16:00 AM,25-005398,RECEIVE/ETC KNOWN STOLEN PROPERTY,35X,9000 MACARTHUR BLVD,Oakland,CA,10
ROBBERY,2025 Feb 04 10:16:00 AM,25-005398,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",35X,9000 MACARTHUR BLVD,Oakland,CA,10
ROBBERY,2025 Feb 04 10:16:00 AM,25-005398,BATTERY W/SERIOUS BODILY INJURY,35X,9000 MACARTHUR BLVD,Oakland,CA,10
GRAND THEFT,2025 Feb 04 10:17:00 AM,25-005392,GRAND THEFT,23X,1800 33RD AV,Oakland,CA,10
GRAND THEFT,2025 Feb 04 10:50:00 AM,25-902395,GRAND THEFT,"09X",100 41ST ST,Oakland,CA,10
PETTY THEFT,2025 Feb 04 11:37:00 AM,25-005427,THEFT,24X,2000 38TH AV,Oakland,CA,11
GRAND THEFT,2025 Feb 04 12:00:00 PM,25-902382,GRAND THEFT,28X,3400 WYMAN ST,Oakland,CA,12
GRAND THEFT,2025 Feb 04 12:00:00 PM,25-009165,GRAND THEFT:FIREARM/ANIMAL/ETC,20X,3000 E 18TH ST,Oakland,CA,12
PETTY THEFT,2025 Feb 04 01:41:00 PM,25-005385,THEFT,33X,9400 TANNER WY,Oakland,CA,13
PETTY THEFT,2025 Feb 04 02:55:00 PM,25-005448,THEFT,18Y,3100 ARDLEY AV,Oakland,CA,14
PETTY THEFT,2025 Feb 04 02:55:00 PM,25-005448,BATTERY,18Y,3100 ARDLEY AV,Oakland,CA,14
PETTY THEFT,2025 Feb 04 03:30:00 PM,25-005461,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,32X,10800 INTERNATIONAL BLVD,Oakland,CA,15
PETTY THEFT,2025 Feb 04 03:52:00 PM,25-005345,THEFT,12X,500 40TH ST,Oakland,CA,15
PETTY THEFT,2025 Feb 04 04:00:00 PM,25-902385,THEFT,24X,2100 HIGH ST,Oakland,CA,16
PETTY THEFT,2025 Feb 04 05:03:00 PM,25-005469,THEFT,"09X",WESTALL AV & RICHMOND BLVD,Oakland,CA,17
PETTY THEFT,2025 Feb 04 08:00:00 PM,25-005636,THEFT,25X,3600 HIGH ST,Oakland,CA,20
ROBBERY,2025 Feb 04 08:29:00 PM,25-005484,ATTEMPTED ROBBERY-FIREARM,29X,6500 FOOTHILL BLVD,Oakland,CA,20
PETTY THEFT,2025 Feb 04 09:00:00 PM,25-005653,THEFT,25X,3800 HIGH ST,Oakland,CA,21
PETTY THEFT,2025 Feb 04 10:00:00 PM,25-005645,THEFT,27X,1900 47TH AV,Oakland,CA,22
PETTY THEFT,2025 Feb 04 10:15:00 PM,25-904287,THEFT,35X,9400 MACARTHUR BLVD,Oakland,CA,22
ROBBERY,2025 Feb 04 11:23:00 PM,25-005518,"ROBBERY/ATM - STRONGARM (HANDS, FISTS, FEET)","04X",1900 FRANKLIN ST,Oakland,CA,23
PETTY THEFT,2025 Feb 04 11:30:00 PM,25-005552,THEFT,22Y,4100 REDWOOD RD,Oakland,CA,23
ROBBERY,2025 Feb 05 02:20:00 AM,25-005517,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,"03Y",14TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,2
ROBBERY,2025 Feb 05 02:20:00 AM,25-005517,CARJACKING - STRONGARM,"03Y",14TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,2
PETTY THEFT,2025 Feb 05 03:05:00 AM,25-904728,THEFT,21Y,2700 BELLAIRE PL,Oakland,CA,3
PETTY THEFT,2025 Feb 05 06:00:00 AM,25-903817,THEFT,"03X",700 FALLON ST,Oakland,CA,6
PETTY THEFT,2025 Feb 05 06:00:00 AM,25-005663,THEFT,33X,1300 81ST AV,Oakland,CA,6
PETTY THEFT,2025 Feb 05 07:40:00 AM,25-904156,THEFT,32Y,2500 99TH AV,Oakland,CA,7
GRAND THEFT,2025 Feb 05 07:50:00 AM,25-904818,GRAND THEFT,"01X",300 3RD ST,Oakland,CA,7
PETTY THEFT,2025 Feb 05 08:00:00 AM,25-005656,THEFT,13Z,6500 LUCAS AV,Oakland,CA,8
GRAND THEFT,2025 Feb 05 08:05:00 AM,25-904154,GRAND THEFT,"09X",3800 BROADWAY,Oakland,CA,8
GRAND THEFT,2025 Feb 05 08:20:00 AM,25-904181,GRAND THEFT,"08X",200 29TH ST,Oakland,CA,8
GRAND THEFT,2025 Feb 05 09:40:00 AM,25-903844,GRAND THEFT,25X,4200 MACARTHUR BLVD,Oakland,CA,9
PETTY THEFT,2025 Feb 05 09:47:00 AM,25-005575,THEFT,22X,2400 SCENIC AV,Oakland,CA,9
ROBBERY,2025 Feb 05 09:50:00 AM,25-005561,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",27X,4600 BOND ST,Oakland,CA,9
ROBBERY,2025 Feb 05 10:20:00 AM,25-005567,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",24Y,3400 DAVIS ST,Oakland,CA,10
ROBBERY,2025 Feb 05 11:47:00 AM,25-005569,ATTEMPTED ROBBERY-STRONG-ARM,15X,200 E 18TH ST,Oakland,CA,11
ROBBERY,2025 Feb 05 11:50:00 AM,25-005583,CARJACKING WITH FIREARM,"05Y",1400 CENTER ST,Oakland,CA,11
PETTY THEFT,2025 Feb 05 12:00:00 PM,26-020296,THEFT,33X,8100 INTERNATIONAL BLVD,Oakland,CA,12
GRAND THEFT,2025 Feb 05 12:35:00 PM,25-904140,GRAND THEFT,26Y,1000 80TH AV,Oakland,CA,12
ROBBERY,2025 Feb 05 01:30:00 PM,25-006348,VANDALISM-$400+,25X,35TH AV & MACARTHUR BLVD,Oakland,CA,13
ROBBERY,2025 Feb 05 01:30:00 PM,25-006348,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",25X,35TH AV & MACARTHUR BLVD,Oakland,CA,13
PETTY THEFT,2025 Feb 05 01:39:00 PM,25-005604,PETTY THEFT:$50-,"02Y",900 CAMPBELL ST,Oakland,CA,13
GRAND THEFT,2025 Feb 05 02:30:00 PM,25-904182,GRAND THEFT,12X,4900 SHATTUCK AV,Oakland,CA,14
PETTY THEFT,2025 Feb 05 03:00:00 PM,25-005681,THEFT,22Y,3200 BRUNELL DR,Oakland,CA,15
PETTY THEFT,2025 Feb 05 03:26:00 PM,25-005612,THEFT,34X,2000 94TH AV,Oakland,CA,15
GRAND THEFT,2025 Feb 05 04:40:00 PM,25-904813,GRAND THEFT,21Y,3300 DAVIS ST,Oakland,CA,16
PETTY THEFT,2025 Feb 05 04:54:00 PM,25-005629,RECEIVING/CONCEALING STOLEN PROPERTY NOT MORE THAN $950,33X,9400 DUNBAR DR,Oakland,CA,16
GRAND THEFT,2025 Feb 05 05:31:00 PM,25-903837,GRAND THEFT:DOG,34X,1900 AUSEON AV,Oakland,CA,17
ROBBERY,2025 Feb 05 06:45:00 PM,25-005654,ROBBERY-FIREARM,22Y,3200 DELAWARE ST,Oakland,CA,18
ROBBERY,2025 Feb 05 06:45:00 PM,25-005654,CARJACKING WITH FIREARM,22Y,3200 DELAWARE ST,Oakland,CA,18
PETTY THEFT,2025 Feb 06 12:00:00 AM,25-010435,THEFT,77X,UNKNOWN,Oakland,CA,0
ROBBERY,2025 Feb 06 12:02:00 AM,25-005672,ROBBERY-FIREARM,"05X",SAN PABLO AV & W GRAND AV,Oakland,CA,0
ROBBERY,2025 Feb 06 12:02:00 AM,25-005672,ASSAULT WITH FIREARM ON PERSON,"05X",SAN PABLO AV & W GRAND AV,Oakland,CA,0
PETTY THEFT,2025 Feb 06 03:38:00 AM,25-005696,VANDALISM,31Y,10000 EMPIRE RD,Oakland,CA,3
PETTY THEFT,2025 Feb 06 06:00:00 AM,25-006534,THEFT,"08X",3900 RUBY ST,Oakland,CA,6
PETTY THEFT,2025 Feb 06 08:00:00 AM,25-007491,THEFT:PERSONAL PROPERTY,"03Y",600 9TH ST,Oakland,CA,8
ROBBERY,2025 Feb 06 09:00:00 AM,25-005711,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",16X,3400 LAKESHORE AV,Oakland,CA,9
GRAND THEFT,2025 Feb 06 09:10:00 AM,25-904749,GRAND THEFT,16X,3500 LAKESHORE AV,Oakland,CA,9
PETTY THEFT,2025 Feb 06 09:15:00 AM,25-903835,THEFT,14Y,3300 GRAND AV,Oakland,CA,9
PETTY THEFT,2025 Feb 06 09:40:00 AM,25-006245,THEFT,30Y,7900 NEY AV,Oakland,CA,9
GRAND THEFT,2025 Feb 06 10:00:00 AM,25-013449,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,10X,900 61ST ST,Oakland,CA,10
PETTY THEFT,2025 Feb 06 10:20:00 AM,25-903805,THEFT,13Z,6700 SARONI DR,Oakland,CA,10
ROBBERY,2025 Feb 06 10:20:00 AM,25-005723,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",21Y,3200 FOOTHILL BLVD,Oakland,CA,10
GRAND THEFT,2025 Feb 06 11:30:00 AM,25-904278,GRAND THEFT,19X,2000 E 12TH ST,Oakland,CA,11
GRAND THEFT,2025 Feb 06 12:10:00 PM,25-902470,GRAND THEFT,"07X",2900 UNION ST,Oakland,CA,12
ROBBERY,2025 Feb 06 01:11:00 PM,25-005738,CARJACKING - STRONGARM,23X,1200 33RD AV,Oakland,CA,13
PETTY THEFT,2025 Feb 06 02:11:00 PM,25-904280,THEFT,10Y,800 57TH ST,Oakland,CA,14
ROBBERY,2025 Feb 06 03:15:00 PM,25-005766,ROBBERY-OTHER DANGEROUS WEAPON,"02X",1300 7TH ST,Oakland,CA,15
PETTY THEFT,2025 Feb 06 03:33:00 PM,25-005839,THEFT,"03Y",400 7TH ST,Oakland,CA,15
PETTY THEFT,2025 Feb 06 04:35:00 PM,25-903834,THEFT,"08X",300 27TH ST,Oakland,CA,16
ROBBERY,2025 Feb 06 07:50:00 PM,25-005779,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","03Y",1300 BROADWAY,Oakland,CA,19
PETTY THEFT,2025 Feb 06 10:00:00 PM,25-006547,THEFT,30Y,8000 MCCORMICK AV,Oakland,CA,22
PETTY THEFT,2025 Feb 07 12:00:00 AM,25-016895,THEFT,12X,4100 OPAL ST,Oakland,CA,0
PETTY THEFT,2025 Feb 07 02:00:00 AM,25-007378,THEFT,28X,4700 WALNUT ST,Oakland,CA,2
GRAND THEFT,2025 Feb 07 03:10:00 AM,25-005801,BATTERY,27Y,1600 51ST AV,Oakland,CA,3
GRAND THEFT,2025 Feb 07 03:10:00 AM,25-005801,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,1600 51ST AV,Oakland,CA,3
GRAND THEFT,2025 Feb 07 03:10:00 AM,25-005801,VANDALISM-$400+,27Y,1600 51ST AV,Oakland,CA,3
GRAND THEFT,2025 Feb 07 03:10:00 AM,25-005801,GRAND THEFT,27Y,1600 51ST AV,Oakland,CA,3
ROBBERY,2025 Feb 07 06:00:00 AM,25-005807,"ATT ROBBERY/INHABITED DWELLING - STRONGARM (HANDS, FISTS, FEET, ETC)","07X",3600 MANDELA PKWY,Oakland,CA,6
ROBBERY,2025 Feb 07 08:00:00 AM,25-005815,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","01X",200 WEBSTER ST,Oakland,CA,8
GRAND THEFT,2025 Feb 07 08:20:00 AM,25-903787,GRAND THEFT,"04X",1700 CASTRO ST,Oakland,CA,8
GRAND THEFT,2025 Feb 07 08:25:00 AM,25-903798,GRAND THEFT,77X,"00 CASTRO ST",Oakland,CA,8
GRAND THEFT,2025 Feb 07 09:17:00 AM,25-903791,GRAND THEFT,31Y,500 HEGENBERGER RD,Oakland,CA,9
ROBBERY,2025 Feb 07 09:19:00 AM,25-005891,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",31Y,500 HEGENBERGER RD,Oakland,CA,9
ROBBERY,2025 Feb 07 09:19:00 AM,25-005891,BATTERY,31Y,500 HEGENBERGER RD,Oakland,CA,9
ROBBERY,2025 Feb 07 09:19:00 AM,25-005891,EXHIBIT/DRAW FIREARM IN PRESENCE OF MOTOR VEHICLE OCCUPANT,31Y,500 HEGENBERGER RD,Oakland,CA,9
ROBBERY,2025 Feb 07 09:37:00 AM,25-005834,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","04X",2000 SAN PABLO AV,Oakland,CA,9
ROBBERY,2025 Feb 07 10:28:00 AM,25-007194,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",22X,2000 MACARTHUR BLVD,Oakland,CA,10
PETTY THEFT,2025 Feb 07 10:28:00 AM,25-005911,THEFT,20X,2900 GLASCOCK ST,Oakland,CA,10
PETTY THEFT,2025 Feb 07 11:20:00 AM,25-904299,MAIL/ETC THEFT/ETC,32X,1100 100TH AV,Oakland,CA,11
PETTY THEFT,2025 Feb 07 11:57:00 AM,25-005849,THEFT,"07X",3700 MANDELA PKWY,Oakland,CA,11
ROBBERY,2025 Feb 07 12:40:00 PM,25-005856,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",31Y,400 HEGENBERGER RD,Oakland,CA,12
PETTY THEFT,2025 Feb 07 02:00:00 PM,25-005971,THEFT,26X,5400 COLISEUM WY,Oakland,CA,14
GRAND THEFT,2025 Feb 07 02:50:00 PM,25-903790,GRAND THEFT,29X,3100 62ND AV,Oakland,CA,14
PETTY THEFT,2025 Feb 07 02:50:00 PM,25-005869,THEFT,16X,3200 LAKESHORE AV,Oakland,CA,14
GRAND THEFT,2025 Feb 07 05:00:00 PM,25-008927,GRAND THEFT,14X,600 BELLEVUE AV,Oakland,CA,17
PETTY THEFT,2025 Feb 07 05:34:00 PM,25-904291,THEFT,22X,2500 WILBUR ST,Oakland,CA,17
ROBBERY,2025 Feb 07 05:50:00 PM,25-005895,ATTEMPTED ROBBERY-STRONG-ARM,33X,8100 RUDSDALE ST,Oakland,CA,17
PETTY THEFT,2025 Feb 07 05:55:00 PM,25-005938,THEFT,"02Y",1600 7TH ST,Oakland,CA,17
GRAND THEFT,2025 Feb 07 06:20:00 PM,25-005901,GRAND THEFT,"03X",12TH ST & BROADWAY,Oakland,CA,18
ROBBERY,2025 Feb 07 06:47:00 PM,25-005905,ASSAULT WITH FIREARM ON PERSON,"05X",1500 MARKET ST,Oakland,CA,18
ROBBERY,2025 Feb 07 06:47:00 PM,25-005905,ROBBERY-FIREARM,"05X",1500 MARKET ST,Oakland,CA,18
ROBBERY,2025 Feb 07 06:47:00 PM,25-005905,CRUELTY TO ELDER/DEPENDENT ADULT WITH LIKELY GBI OR DEATH,"05X",1500 MARKET ST,Oakland,CA,18
PETTY THEFT,2025 Feb 07 07:00:00 PM,25-006046,THEFT,25X,5400 LEONA ST,Oakland,CA,19
PETTY THEFT,2025 Feb 07 07:30:00 PM,25-903235,THEFT,21X,2300 E 29TH ST,Oakland,CA,19
PETTY THEFT,2025 Feb 07 09:00:00 PM,25-006241,THEFT,32Y,2700 TALBOT AV,Oakland,CA,21
GRAND THEFT,2025 Feb 07 09:10:00 PM,25-904078,GRAND THEFT,26Y,7000 HAMILTON ST,Oakland,CA,21
PETTY THEFT,2025 Feb 07 10:00:00 PM,25-006668,THEFT,"08X",24TH ST & TELEGRAPH AV,Oakland,CA,22
PETTY THEFT,2025 Feb 08 12:00:00 AM,25-006538,THEFT,21Y,2300 FRUITVALE AV,Oakland,CA,0
ROBBERY,2025 Feb 08 02:20:00 AM,25-005945,ROBBERY-FIREARM,31Y,300 HEGENBERGER RD,Oakland,CA,2
GRAND THEFT,2025 Feb 08 02:24:00 AM,24-005950,GRAND THEFT,34X,2100 94TH AVE,Oakland,CA,2
PETTY THEFT,2025 Feb 08 03:30:00 AM,25-006208,THEFT,27Y,2600 64TH AV,Oakland,CA,3
GRAND THEFT,2025 Feb 08 04:00:00 AM,25-904814,GRAND THEFT,22X,"00 ALIDA CT",Oakland,CA,4
GRAND THEFT,2025 Feb 08 06:00:00 AM,25-908243,GRAND THEFT,12X,4500 WEBSTER ST,Oakland,CA,6
GRAND THEFT,2025 Feb 08 06:15:00 AM,25-901423,GRAND THEFT,14Y,"00 MOSS AV",Oakland,CA,6
GRAND THEFT,2025 Feb 08 06:15:00 AM,25-904817,GRAND THEFT,16Y,3900 LINWOOD AV,Oakland,CA,6
PETTY THEFT,2025 Feb 08 07:00:00 AM,25-015488,THEFT,35X,8600 THERMAL ST,Oakland,CA,7
GRAND THEFT,2025 Feb 08 08:20:00 AM,25-904074,GRAND THEFT,12Y,5100 TELEGRAPH AV,Oakland,CA,8
GRAND THEFT,2025 Feb 08 09:00:00 AM,25-005987,GRAND THEFT,77X,5400 JOE MORGAN WY,Oakland,CA,9
PETTY THEFT,2025 Feb 08 09:30:00 AM,25-904285,THEFT,"08X",23RD ST & VALDEZ ST,Oakland,CA,9
GRAND THEFT,2025 Feb 08 10:00:00 AM,25-904073,GRAND THEFT,"04X",300 17TH ST,Oakland,CA,10
GRAND THEFT,2025 Feb 08 10:00:00 AM,25-901278,GRAND THEFT,35X,3500 CALANDRIA AV,Oakland,CA,10
GRAND THEFT,2025 Feb 08 11:00:00 AM,25-008282,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,"09X",4200 PIEDMONT AV,Oakland,CA,11
PETTY THEFT,2025 Feb 08 11:22:00 AM,25-903232,THEFT,"09X",100 41ST ST,Oakland,CA,11
PETTY THEFT,2025 Feb 08 12:00:00 PM,25-006380,THEFT,15X,400 WAYNE AV,Oakland,CA,12
PETTY THEFT,2025 Feb 08 12:47:00 PM,25-005991,THEFT,"03X",300 14TH ST,Oakland,CA,12
GRAND THEFT,2025 Feb 08 01:00:00 PM,25-904816,GRAND THEFT,"04X",1800 ALICE ST,Oakland,CA,13
GRAND THEFT,2025 Feb 08 02:05:00 PM,25-904815,GRAND THEFT,"04X",1400 LAKESIDE DR,Oakland,CA,14
